Region,Office,Client ID,Client Status,Loan Status,Client Score,Status Date
South Rift Region,Kericho,53626.0,Dormant,Penalties,61.24,2020-07-31
Nairobi Region,Rongai,35566.0,Dormant,Penalties,38.94,2019-06-30
South Rift Region,Litein,22878.0,Dormant,Penalties,19.95,2018-08-31
South Rift Region,Nakuru,26138.0,Dormant,Penalties,2.43,2018-12-31
Nairobi Region,Rongai,2760.0,Dormant,Penalties,25.86,2016-09-30
Coast Region,Ukunda,83041.0,Active,Penalties,1.31,2021-02-28
Eastern Region,Matuu,73672.0,Dormant,Penalties,39.49,2021-02-28
South Rift Region,Bomet,14930.0,Dormant,Penalties,41.0,2018-11-30
South Rift Region,Nakuru,22170.0,Dormant,Penalties,37.56,2020-03-31
Coast Region,Voi,49370.0,Dormant,Penalties,46.64,2020-04-30
South Rift AgriBiz,Nakuru AgriBiz,68792.0,Active,Penalties,43.48,2021-02-28
North Rift Region,Kapenguria,64044.0,Dormant,Penalties,25.78,2020-09-30
South Rift Region,Nakuru,21205.0,Inactive,Pending Renewal,,2017-07-31
North Rift Region,Kapsabet,43149.0,Dormant,Penalties,11.3,2019-09-30
Western Region,Mbale,83982.0,Active,P+I Current,55.2,2021-02-28
South Rift Region,Kericho,56535.0,Dormant,Penalties,39.77,2020-06-30
South Rift Region,Molo,41458.0,Dormant,Penalties,42.18,2019-08-31
Coast Region,Malindi,38718.0,Dormant,Penalties,50.17,2019-10-31
Coast Region,Ukunda,25984.0,Dormant,Penalties,57.55,2019-03-31
South Rift Region,Molo,39306.0,Dormant,Penalties,0.15,2019-07-31
Nairobi Region,Ngong Road,4199.0,Active,P+I In Default,55.13,2021-02-28
Western Region,Busia,57086.0,Dormant,Pending Renewal,30.82,2020-11-30
South Rift AgriBiz,Keringet,55069.0,Dormant,Pending Renewal,62.42,2021-02-28
Eastern Region,Tala,61311.0,Dormant,Penalties,0.67,2021-02-28
Coast Region,Changamwe,5908.0,Active,P+I In Default,44.43,2021-02-28
Nairobi Region,Thika,66857.0,Dormant,Penalties,0.15,2020-09-30
Western Region,Kakamega,75807.0,Dormant,Penalties,42.87,2021-02-28
Western Region,Mbale,77599.0,Active,Penalties,1.31,2020-11-30
South Rift Region,Molo,34662.0,Dormant,Pending Renewal,39.98,2020-05-31
North Rift Region,Kapsabet,69679.0,Dormant,Penalties,26.69,2020-11-30
Eastern Region,Machakos,60494.0,Dormant,Penalties,49.76,2020-08-31
South Rift AgriBiz,Nakuru AgriBiz,36110.0,Dormant,P+I In Default,,2019-10-31
South Rift Region,Litein,57191.0,Dormant,Penalties,12.17,2020-06-30
Nairobi Region,Ngong Road,50962.0,Inactive,Pending Renewal,,2019-02-28
South Rift AgriBiz,Ndunyu Njeru,48828.0,Dormant,P+I In Default,,2020-06-30
Western Region,Kakamega,64825.0,Dormant,Penalties,0.15,2020-08-31
South Rift Region,Nakuru,240.0,Dormant,Pending Renewal,44.54,2016-05-31
North Rift Region,Eldoret3,35886.0,Dormant,Penalties,24.52,2019-05-31
North Rift Region,Eldoret3,28991.0,Dormant,Penalties,51.28,2019-03-31
Coast Region,Mtwapa,78683.0,Active,Penalties,41.27,2021-02-28
South Rift Region,Naivasha,10119.0,Dormant,Penalties,39.38,2017-10-31
Coast Region,Changamwe,33551.0,Dormant,Penalties,53.26,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,27925.0,Dormant,Penalties,37.85,2019-12-31
Eastern Region,Matuu,58528.0,Dormant,Penalties,0.15,2020-05-31
South Rift Region,Litein,48951.0,Dormant,Penalties,26.86,2020-12-31
Western Region,Mumias,62901.0,Dormant,Penalties,44.41,2021-01-31
South Rift Region,Kericho,7894.0,Dormant,Penalties,42.63,2018-01-31
South Rift AgriBiz,Londiani,48871.0,Active,P+I Current,64.84,2021-02-28
South Rift Region,Molo,75804.0,Active,P+I Current,59.11,2021-02-28
North Rift Region,Kapsabet,78349.0,Active,Penalties,37.79,2020-11-30
South Rift Region,Narok,44297.0,Dormant,Penalties,45.03,2020-05-31
North Rift Region,Nandi Hills,39763.0,Dormant,Pending Renewal,46.41,2019-07-31
Nairobi Region,Kahawa,70580.0,Dormant,Penalties,32.96,2020-11-30
Eastern Region,Kitui,69996.0,Dormant,Penalties,53.89,2021-02-28
South Rift Region,Nakuru,40811.0,Dormant,Penalties,59.22,2019-08-31
North Rift Region,Nandi Hills,39771.0,Dormant,Pending Renewal,44.9,2019-09-30
North Rift Region,Iten,63149.0,Dormant,Penalties,36.09,2020-08-31
South Rift Region,Naivasha,19607.0,Dormant,Pending Renewal,39.72,2018-12-31
North Rift Region,Kapenguria,39598.0,Dormant,Penalties,8.9,2019-07-31
Nairobi Region,Kahawa,76903.0,Active,Pending Renewal,65.13,2020-11-30
Coast Region,Ukunda,26598.0,Dormant,Penalties,13.43,2019-01-31
Nairobi Region,Kahawa,42199.0,Dormant,Penalties,49.16,2019-11-30
Eastern Region,Tala,69235.0,Dormant,Penalties,0.41,2020-10-31
North Rift Region,Eldoret3,64181.0,Dormant,Penalties,35.04,2020-10-31
South Rift Region,Kericho,75079.0,Active,Pending Renewal,82.53,2021-02-28
South Rift Region,Nakuru,10214.0,Dormant,Penalties,32.91,2017-11-30
South Rift AgriBiz,Nakuru AgriBiz,7001.0,Dormant,Pending Renewal,62.74,2018-09-30
Western Region,Bungoma,49501.0,Dormant,Pending Renewal,29.51,2020-02-29
Eastern Region,Wote,74483.0,Dormant,Penalties,38.34,2020-10-31
North Rift Region,Kitale,64923.0,Dormant,Penalties,18.41,2020-09-30
Nairobi Region,Embakasi,86183.0,New,P+I Current,,2021-02-28
South Rift AgriBiz,Londiani,71188.0,Active,Penalties,37.01,2021-02-28
,Fraud,59741.0,Dormant,Penalties,0.46,2020-08-31
South Rift Region,Nyahururu,39917.0,Dormant,Penalties,14.04,2019-10-31
Western Region,Kakamega,83646.0,Active,Pending Renewal,59.91,2021-02-28
North Rift Region,Kapsabet,40037.0,Dormant,Penalties,12.04,2019-10-31
Nairobi Region,Kiambu,83670.0,Active,Penalties,53.18,2021-02-28
North Rift Region,Kitale,78677.0,Active,Penalties,49.24,2021-01-31
South Rift AgriBiz,Keringet,73985.0,Dormant,P+I In Default,13.54,2021-02-28
South Rift Region,Narok,82128.0,Active,P+I Current,73.77,2021-02-28
North Rift Region,Eldoret1,9507.0,Dormant,Penalties,47.21,2017-11-30
Coast Region,Malindi,36821.0,Active,P+I In Default,59.33,2021-02-28
Coast Region,Mtwapa,37073.0,Dormant,Penalties,59.84,2019-08-31
Nairobi Region,Limuru,6698.0,Dormant,Penalties,67.54,2020-10-31
North Rift Region,Eldoret3,63953.0,Dormant,Penalties,0.15,2020-08-31
South Rift Region,Narok,14974.0,Dormant,Penalties,32.81,2018-05-31
South Rift Region,Naivasha,33103.0,Dormant,Penalties,8.9,2019-04-30
South Rift Region,Molo,42201.0,Dormant,Pending Renewal,49.73,2020-11-30
South Rift Region,Nakuru,30452.0,Dormant,Penalties,13.4,2019-03-31
North Rift Region,Eldoret3,34901.0,Dormant,Penalties,41.82,2020-10-31
Coast Region,Mariakani,63275.0,Dormant,P+I In Default,31.02,2020-11-30
Coast Region,Mtwapa,18070.0,Dormant,Penalties,0.15,2018-05-31
Coast Region,Mtwapa,21621.0,Dormant,Penalties,51.51,2019-03-31
Nairobi Region,Kahawa,15987.0,Dormant,Penalties,40.51,2018-06-30
North Rift Region,Eldoret3,57322.0,Dormant,P+I In Default,0.5,2020-06-30
South Rift AgriBiz,Londiani,49327.0,Dormant,Pending Renewal,48.77,2020-12-31
Coast Region,Mombasa,76005.0,Dormant,Penalties,38.6,2021-01-31
Coast Region,Ukunda,20915.0,Dormant,Penalties,45.85,2018-12-31
Coast Region,Mtwapa,40203.0,Dormant,Pending Renewal,24.87,2020-10-31
South Rift Region,Nakuru,41613.0,Dormant,Pending Renewal,60.15,2019-10-31
South Rift Region,Bomet,32882.0,Dormant,Penalties,35.61,2019-10-31
North Rift Region,Kitale,72349.0,Active,P+I In Default,58.29,2021-02-28
North Rift Region,Nandi Hills,53396.0,Dormant,Penalties,0.15,2020-08-31
South Rift Region,Litein,81663.0,Active,Penalties,10.06,2021-02-28
Nairobi Region,Kahawa,10897.0,Dormant,Penalties,25.6,2017-10-31
North Rift Region,Eldoret2,22977.0,Inactive,Pending Renewal,,2017-08-31
South Rift Region,Naivasha,48321.0,Dormant,Penalties,57.07,2020-05-31
Nairobi Region,Thika,19856.0,Dormant,Penalties,16.32,2018-11-30
Coast Region,Mombasa,34470.0,Dormant,Penalties,18.05,2019-05-31
Coast Region,Mombasa,13902.0,Dormant,Penalties,44.62,2018-09-30
Nairobi Region,Limuru,69693.0,Dormant,Penalties,40.48,2021-02-28
Western Region,Kisumu,52385.0,Dormant,Penalties,34.35,2020-04-30
Western Region,Mbale,64759.0,Active,Penalties,50.17,2020-12-31
Nairobi Region,Kahawa,11086.0,Dormant,Penalties,44.83,2020-02-29
South Rift AgriBiz,Ndunyu Njeru,27716.0,Dormant,Penalties,39.59,2019-11-30
Nairobi Region,Kahawa,75100.0,Dormant,Penalties,2.68,2020-10-31
Coast Region,Mtwapa,23383.0,Dormant,Penalties,39.36,2018-12-31
Eastern Region,Kitui,74883.0,Active,Penalties,17.06,2021-01-31
South Rift AgriBiz,Londiani,82828.0,Active,P+I In Default,,2020-12-31
Central AgriBiz,Gatundu,46619.0,Dormant,P+I In Default,,2020-04-30
Coast Region,Mariakani,42327.0,Dormant,Penalties,58.93,2021-02-28
North Rift Region,Nandi Hills,61428.0,Dormant,Penalties,0.15,2020-07-31
South Rift Region,Molo,73627.0,Dormant,Penalties,0.73,2021-02-28
Nairobi Region,Kahawa,23493.0,Dormant,Penalties,29.81,2020-10-31
South Rift Region,Nakuru,8997.0,Dormant,Penalties,23.38,2020-06-30
South Rift AgriBiz,Keringet,71222.0,Dormant,Penalties,41.49,2021-02-28
South Rift AgriBiz,Maili Nne,26802.0,Dormant,Penalties,50.5,2020-10-31
North Rift Region,Kapenguria,34684.0,Dormant,Penalties,3.25,2019-05-31
North Rift Region,Kapsabet,37299.0,Active,P+I In Default,62.24,2021-02-28
Eastern Region,Tala,53300.0,Dormant,Penalties,14.02,2020-05-31
Western Region,Busia,79353.0,Active,Penalties,47.2,2020-12-31
Coast Region,Mombasa,14051.0,Dormant,Penalties,32.35,2018-09-30
North Rift Region,Kapenguria,77842.0,Active,Penalties,48.11,2020-11-30
Nairobi Region,Rongai,18401.0,Dormant,Penalties,9.41,2018-05-31
,Head Office,76973.0,Inactive,Pending Renewal,,2020-08-31
Nairobi Region,Kiambu,17246.0,Dormant,Penalties,13.76,2018-04-30
North Rift Region,Kapenguria,29393.0,Dormant,Penalties,44.96,2019-04-30
South Rift AgriBiz,Keringet,59367.0,Dormant,Pending Renewal,44.76,2021-01-31
Coast Region,Mtwapa,26077.0,Dormant,Penalties,44.69,2019-03-31
Nairobi Region,Rongai,10615.0,Dormant,Pending Renewal,57.56,2017-10-31
Nairobi Region,Kiambu,10134.0,Dormant,Pending Renewal,37.86,2017-08-31
Eastern Region,Tala,71255.0,Dormant,Penalties,41.41,2021-02-28
Nairobi Region,Kariobangi,27200.0,Dormant,Pending Renewal,56.72,2019-01-31
South Rift AgriBiz,Ndunyu Njeru,39587.0,Dormant,Penalties,43.79,2020-05-31
Eastern Region,Machakos,51516.0,Dormant,Penalties,23.08,2020-04-30
South Rift Region,Naivasha,68571.0,Dormant,Penalties,26.53,2021-02-28
Nairobi Region,Thika,66835.0,Dormant,Penalties,0.15,2020-09-30
South Rift Region,Naivasha,10085.0,Dormant,Penalties,7.65,2017-08-31
Eastern Region,Wote,70437.0,Dormant,Penalties,47.2,2021-02-28
North Rift Region,Eldoret1,21808.0,Dormant,Penalties,8.9,2018-07-31
North Rift Region,Iten,31868.0,Dormant,Penalties,20.82,2019-04-30
Nairobi Region,Kiambu,50422.0,Dormant,Penalties,50.0,2020-04-30
South Rift Region,Naivasha,33985.0,Dormant,Penalties,5.52,2019-04-30
South Rift AgriBiz,Ndunyu Njeru,27978.0,Dormant,Pending Renewal,42.84,2019-12-31
North Rift Region,Eldoret3,20273.0,Dormant,Penalties,24.44,2018-07-31
Coast Region,Malindi,47088.0,Dormant,Pending Renewal,37.36,2019-11-30
South Rift AgriBiz,Keringet,61858.0,Dormant,Penalties,43.24,2021-02-28
Western Region,Busia,76853.0,Dormant,Penalties,1.31,2021-02-28
Western Region,Busia,67041.0,Active,Penalties,47.74,2021-01-31
North Rift Region,Kapenguria,74622.0,Dormant,Pending Renewal,12.5,2020-10-31
Nairobi Region,Kariobangi,47936.0,Dormant,Penalties,49.3,2020-08-31
Western Region,Kakamega,71658.0,Dormant,Penalties,24.8,2021-02-28
South Rift Region,Kericho,17230.0,Dormant,Penalties,27.8,2018-04-30
North Rift Region,Kapsabet,77244.0,Active,P+I In Default,,2020-08-31
Nairobi Region,Thika,17283.0,Dormant,Penalties,5.74,2018-04-30
Coast Region,Mombasa,30306.0,Dormant,Penalties,38.11,2019-07-31
North Rift Region,Nandi Hills,16796.0,Dormant,Penalties,37.99,2018-06-30
Nairobi Region,Kahawa,85483.0,New,P+I Current,,2021-02-28
South Rift Region,Nyahururu,29262.0,Dormant,Pending Renewal,0.15,2019-02-28
Western Region,Mbale,86288.0,New,P+I Current,,2021-02-28
Nairobi Region,Kariobangi,5754.0,Dormant,Penalties,33.55,2017-04-30
Coast Region,Mariakani,40462.0,Dormant,Penalties,61.52,2021-02-28
Nairobi Region,Thika,12563.0,Dormant,Penalties,32.24,2020-03-31
Coast Region,Mtwapa,53433.0,Dormant,Pending Renewal,38.26,2020-03-31
Nairobi Region,Limuru,6834.0,Dormant,Penalties,38.33,2018-04-30
Coast Region,Malindi,79838.0,Active,P+I Current,69.63,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,12951.0,Active,P+I In Default,66.43,2021-02-28
North Rift Region,Kapsowar,84643.0,New,Penalties,39.18,2021-02-28
Coast Region,Changamwe,40522.0,Dormant,Pending Renewal,71.77,2020-07-31
North Rift Region,Kapenguria,62074.0,Dormant,Penalties,50.83,2020-12-31
,Fraud,59719.0,Dormant,Penalties,0.31,2020-08-31
Coast Region,Ukunda,56787.0,Inactive,Pending Renewal,,2019-05-31
Nairobi Region,Kiambu,10995.0,Dormant,Penalties,6.85,2017-10-31
South Rift Region,Nyahururu,74185.0,Dormant,Penalties,10.06,2020-09-30
South Rift AgriBiz,Londiani,81844.0,Active,P+I Current,,2021-02-28
Nairobi Region,Kariobangi,58023.0,Dormant,Penalties,2.08,2021-02-28
Nairobi Region,Kariobangi,13135.0,Dormant,Pending Renewal,52.29,2018-02-28
North Rift Region,Eldoret2,5146.0,Dormant,Pending Renewal,48.9,2017-02-28
Nairobi Region,Limuru,16550.0,Dormant,Penalties,32.67,2018-06-30
South Rift Region,Nakuru,56147.0,Dormant,Penalties,6.23,2020-05-31
Coast Region,Mombasa,15682.0,Dormant,Penalties,35.04,2018-06-30
Western Region,Bungoma,55846.0,Dormant,Penalties,0.25,2020-04-30
South Rift Region,Nyahururu,37654.0,Dormant,Penalties,29.84,2020-06-30
Nairobi Region,Kahawa,8889.0,Dormant,Penalties,22.4,2017-06-30
Coast Region,Mariakani,52861.0,Dormant,Penalties,46.42,2020-10-31
Nairobi Region,Embakasi,52358.0,Active,Penalties,58.84,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,58.0,Dormant,Pending Renewal,69.95,2018-04-30
Coast Region,Mtwapa,65136.0,Dormant,Penalties,0.15,2020-08-31
Coast Region,Mombasa,52236.0,Dormant,Penalties,1.56,2020-03-31
Coast Region,Mtwapa,56360.0,Dormant,Penalties,0.15,2020-04-30
North Rift Region,Eldoret2,9320.0,Dormant,Penalties,40.24,2017-09-30
Nairobi Region,Ngong Road,53242.0,Dormant,Penalties,11.62,2020-03-31
North Rift Region,Nandi Hills,54714.0,Dormant,Penalties,41.01,2020-04-30
Eastern Region,Mwingi,71058.0,Dormant,Penalties,22.66,2021-02-28
South Rift Region,Nakuru,56168.0,Dormant,P+I In Default,0.5,2020-05-31
South Rift AgriBiz,Keringet,86166.0,New,P+I Current,,2021-02-28
North Rift Region,Eldoret1,27103.0,Dormant,Penalties,15.5,2018-12-31
Coast Region,Malindi,66583.0,Dormant,Penalties,52.33,2020-09-30
South Rift Region,Naivasha,19389.0,Dormant,Penalties,15.27,2018-06-30
South Rift AgriBiz,Keringet,65697.0,Active,P+I In Default,54.84,2021-02-28
Coast Region,Ukunda,35877.0,Dormant,Pending Renewal,57.08,2019-06-30
South Rift Region,Nakuru,500.0,Dormant,Pending Renewal,36.87,2016-04-30
Eastern Region,Machakos,53303.0,Dormant,Penalties,32.09,2020-05-31
South Rift AgriBiz,Londiani,76543.0,Active,P+I In Default,79.92,2021-02-28
Nairobi Region,Thika,33331.0,Dormant,Penalties,9.5,2019-04-30
Coast Region,Mombasa,72376.0,Dormant,Penalties,31.5,2021-02-28
Coast Region,Voi,54729.0,Dormant,Penalties,17.32,2020-05-31
Coast Region,Mombasa,77102.0,Active,P+I In Default,40.17,2021-02-28
South Rift Region,Naivasha,9197.0,Dormant,Penalties,35.82,2017-07-31
Coast Region,Ukunda,31768.0,Dormant,Penalties,34.28,2019-06-30
South Rift Region,Litein,40408.0,Active,P+I In Default,51.51,2021-02-28
Eastern Region,Kitui,66095.0,Dormant,Penalties,0.15,2020-09-30
Nairobi Region,Kiambu,5147.0,Dormant,Penalties,35.57,2017-07-31
Western Region,Busia,49661.0,Dormant,Penalties,28.98,2020-03-31
Eastern Region,Matuu,71732.0,Dormant,P+I In Default,1.75,2021-02-28
North Rift Region,Iten,28135.0,Active,Penalties,57.97,2021-02-28
Nairobi Region,Rongai,65948.0,Dormant,Penalties,29.66,2020-10-31
South Rift Region,Litein,49082.0,Active,Penalties,23.79,2020-10-31
North Rift Region,Kapsabet,17975.0,Dormant,Penalties,39.36,2018-10-31
North Rift Region,Eldoret2,5194.0,Dormant,Penalties,54.46,2017-06-30
South Rift AgriBiz,Ndunyu Njeru,25316.0,Dormant,Pending Renewal,52.25,2020-08-31
South Rift Region,Molo,74806.0,Dormant,Penalties,1.31,2020-12-31
South Rift Region,Nakuru,41635.0,Dormant,Penalties,57.31,2019-09-30
South Rift Region,Molo,30571.0,Dormant,Penalties,35.75,2019-03-31
South Rift AgriBiz,Maili Nne,79419.0,Active,P+I In Default,69.92,2021-02-28
South Rift Region,Nakuru,3627.0,Active,P+I In Default,63.05,2021-02-28
South Rift AgriBiz,Ndunyu Njeru,16296.0,Active,P+I Current,42.65,2021-02-28
Western Region,Bungoma,64649.0,Inactive,Pending Renewal,,2019-08-31
Nairobi Region,Embakasi,25735.0,Dormant,Penalties,36.28,2019-06-30
North Rift Region,Eldoret2,58388.0,Dormant,Penalties,64.31,2020-09-30
North Rift Region,Eldoret3,41630.0,Dormant,Penalties,35.96,2019-09-30
Western Region,Mumias,76494.0,Active,P+I In Default,58.65,2021-02-28
Coast Region,Mariakani,29979.0,Dormant,Penalties,38.58,2019-10-31
Western Region,Kakamega,68449.0,Dormant,Penalties,18.36,2020-11-30
Nairobi Region,Ngong Road,17992.0,Dormant,Penalties,35.2,2021-02-28
South Rift AgriBiz,Maili Nne,82854.0,Active,P+I In Default,,2020-12-31
South Rift Region,Naivasha,48463.0,Dormant,Penalties,49.11,2020-10-31
South Rift Region,Kericho,62864.0,Dormant,Pending Renewal,30.75,2020-07-31
North Rift Region,Eldoret2,82230.0,Active,Penalties,1.31,2021-02-28
Nairobi Region,Rongai,70287.0,Dormant,Penalties,34.38,2021-01-31
Nairobi Region,Thika,5857.0,Dormant,Pending Renewal,28.01,2017-05-31
Nairobi Region,Rongai,51049.0,Dormant,Penalties,28.56,2020-03-31
Coast Region,Malindi,76381.0,Dormant,Penalties,30.94,2021-02-28
Nairobi Region,Embakasi,38154.0,Dormant,Penalties,32.56,2019-06-30
Nairobi Region,Limuru,38502.0,Dormant,Penalties,48.47,2019-08-31
Nairobi Region,Embakasi,70776.0,Dormant,Penalties,37.71,2021-02-28
Coast Region,Malindi,57313.0,Dormant,Penalties,29.01,2020-06-30
North Rift Region,Eldoret2,26708.0,Dormant,Penalties,0.15,2018-11-30
Coast Region,Ukunda,18278.0,Inactive,Pending Renewal,,2017-05-31
South Rift AgriBiz,Ndunyu Njeru,16156.0,Active,Pending Renewal,53.87,2020-12-31
North Rift Region,Kapsabet,65022.0,Active,P+I In Default,33.27,2021-02-28
North Rift Region,Eldoret3,21409.0,Dormant,Penalties,5.55,2018-07-31
Coast Region,Kilifi,67873.0,Dormant,Penalties,28.66,2020-11-30
Coast Region,Ukunda,37727.0,Dormant,Penalties,40.99,2019-08-31
Coast Region,Malindi,41661.0,Dormant,Penalties,5.15,2019-08-31
Eastern Region,Matuu,53826.0,Dormant,Penalties,26.26,2020-03-31
South Rift Region,Bomet,61494.0,Active,P+I In Default,54.18,2021-02-28
South Rift Region,Nakuru,25482.0,Dormant,Penalties,25.52,2018-12-31
Nairobi Region,Ngong Road,50755.0,Dormant,Penalties,42.58,2020-08-31
Nairobi Region,Ngong Road,5938.0,Active,P+I Current,53.8,2021-02-28
Eastern Region,Matuu,62656.0,Dormant,Penalties,32.21,2020-09-30
North Rift Region,Kapenguria,30280.0,Dormant,Penalties,15.82,2019-04-30
Coast Region,Mariakani,35511.0,Dormant,Penalties,43.39,2019-10-31
Coast Region,Mariakani,71371.0,Active,P+I In Default,44.8,2021-02-28
Coast Region,Mombasa,63821.0,Dormant,Penalties,46.84,2020-10-31
Coast Region,Ukunda,36145.0,Dormant,Penalties,51.75,2019-05-31
Coast Region,Ukunda,17718.0,Dormant,Penalties,48.45,2018-05-31
North Rift Region,Eldoret3,16348.0,Dormant,Pending Renewal,31.86,2018-04-30
South Rift AgriBiz,Keringet,68579.0,Active,Pending Renewal,58.25,2021-02-28
North Rift Region,Nandi Hills,47023.0,Dormant,Penalties,24.58,2019-12-31
North Rift Region,Kitale,14841.0,Dormant,Penalties,24.59,2018-10-31
South Rift Region,Bomet,81194.0,Active,Penalties,32.13,2021-02-28
South Rift AgriBiz,Ndunyu Njeru,24633.0,Dormant,Penalties,34.43,2019-08-31
South Rift Region,Bomet,72339.0,Dormant,Penalties,44.79,2021-02-28
Nairobi Region,Kariobangi,47284.0,Dormant,Penalties,19.57,2020-02-29
Nairobi Region,Kiambu,58386.0,Dormant,Penalties,38.5,2020-08-31
North Rift Region,Eldoret2,8598.0,Dormant,Penalties,44.25,2020-08-31
South Rift Region,Litein,14755.0,Dormant,Penalties,35.04,2018-05-31
Coast Region,Mombasa,47319.0,Inactive,Pending Renewal,,2018-11-30
South Rift Region,Kericho,5739.0,Dormant,Penalties,28.56,2017-04-30
North Rift Region,Kitale,47559.0,Dormant,Penalties,0.15,2019-11-30
Nairobi Region,Kahawa,68270.0,Dormant,Penalties,60.63,2021-02-28
South Rift Region,Bomet,31560.0,Inactive,Pending Renewal,,2018-04-30
Western Region,Kisumu,72751.0,Dormant,Penalties,63.18,2021-02-28
South Rift AgriBiz,Maili Nne,71382.0,Active,Penalties,68.31,2021-01-31
Western Region,Mbale,60666.0,Dormant,Penalties,39.49,2021-01-31
Central AgriBiz,Gatundu,62856.0,Dormant,Pending Renewal,32.63,2021-02-28
Eastern Region,Wote,52937.0,Dormant,Penalties,32.13,2020-05-31
North Rift Region,Kapenguria,26644.0,Inactive,Pending Renewal,,2017-12-31
Western Region,Busia,54238.0,Dormant,Penalties,33.32,2020-05-31
South Rift Region,Bomet,19002.0,Dormant,Penalties,13.43,2018-08-31
Nairobi Region,Kariobangi,52167.0,Dormant,Penalties,24.96,2020-03-31
South Rift Region,Molo,65427.0,Dormant,Penalties,0.15,2020-10-31
Coast Region,Changamwe,40960.0,Dormant,Pending Renewal,75.77,2019-12-31
Western Region,Busia,55370.0,Inactive,Pending Renewal,,2019-04-30
Nairobi Region,Kariobangi,43113.0,Dormant,Penalties,62.06,2019-10-31
Nairobi Region,Kiambu,29746.0,Dormant,Penalties,28.8,2019-03-31
Nairobi Region,Rongai,12294.0,Dormant,Penalties,26.06,2018-12-31
South Rift AgriBiz,Nakuru AgriBiz,67823.0,Active,P+I Current,71.06,2021-02-28
Coast Region,Mombasa,64725.0,Dormant,Penalties,3.05,2020-08-31
North Rift Region,Eldoret3,73206.0,Dormant,Penalties,0.44,2021-02-28
South Rift Region,Narok,75951.0,Active,Penalties,42.14,2020-10-31
North Rift Region,Nandi Hills,19526.0,Dormant,Penalties,29.5,2018-11-30
North Rift Region,Nandi Hills,25997.0,Dormant,Penalties,29.6,2019-03-31
Western Region,Kisumu,74371.0,Dormant,Pending Renewal,24.51,2020-10-31
Nairobi Region,Kariobangi,9607.0,Dormant,Penalties,63.85,2017-07-31
Eastern Region,Matuu,65308.0,Dormant,Penalties,8.9,2020-08-31
South Rift Region,Litein,73287.0,Dormant,Penalties,0.44,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,63570.0,Dormant,Penalties,50.04,2021-02-28
Nairobi Region,Kariobangi,24408.0,Dormant,Penalties,0.15,2018-09-30
Nairobi Region,Embakasi,2717.0,Dormant,Penalties,29.38,2016-07-31
Nairobi Region,Rongai,1016.0,Dormant,Penalties,43.21,2016-03-31
Western Region,Busia,81494.0,Active,P+I In Default,56.93,2021-02-28
Nairobi Region,Rongai,86121.0,New,P+I Current,,2021-02-28
South Rift Region,Naivasha,206.0,Active,P+I Current,76.87,2021-02-28
South Rift Region,Bomet,37624.0,Dormant,Penalties,59.3,2020-09-30
South Rift Region,Nakuru,44620.0,Dormant,Penalties,22.54,2019-12-31
Eastern Region,Kitui,63680.0,Dormant,Penalties,0.15,2020-08-31
South Rift AgriBiz,Londiani,40103.0,Dormant,Pending Renewal,37.4,2019-10-31
Eastern Region,Matuu,80544.0,Active,Penalties,30.52,2021-01-31
South Rift AgriBiz,Nakuru AgriBiz,6063.0,Dormant,P+I In Default,,2018-01-31
Nairobi Region,Kariobangi,1662.0,Dormant,Penalties,0.2,2016-04-30
North Rift Region,Kapsabet,35226.0,Dormant,Penalties,21.01,2019-05-31
Nairobi Region,Kariobangi,63027.0,Dormant,Penalties,61.69,2021-02-28
North Rift Region,Kitale,35770.0,Dormant,Penalties,58.59,2020-03-31
South Rift Region,Molo,38241.0,Dormant,Penalties,33.72,2019-07-31
Eastern Region,Machakos,55838.0,Inactive,Pending Renewal,,2019-04-30
Coast Region,Mtwapa,83122.0,Active,Penalties,9.74,2021-01-31
North Rift Region,Eldoret2,5949.0,Dormant,Penalties,42.49,2020-09-30
South Rift Region,Narok,64754.0,Dormant,Penalties,0.5,2020-10-31
North Rift Region,Kapenguria,79121.0,Active,Penalties,34.05,2020-12-31
North Rift Region,Eldoret1,45457.0,Dormant,Penalties,19.7,2019-10-31
South Rift Region,Kericho,40240.0,Dormant,Penalties,50.73,2020-04-30
Nairobi Region,Embakasi,45853.0,Dormant,Penalties,0.15,2019-10-31
Nairobi Region,Embakasi,1912.0,Dormant,Penalties,41.31,2017-06-30
Western Region,Kakamega,81915.0,Active,Penalties,18.49,2020-12-31
Western Region,Kakamega,64995.0,Dormant,P+I In Default,0.15,2020-08-31
South Rift Region,Naivasha,7249.0,Dormant,Penalties,0.75,2017-05-31
North Rift Region,Kapsabet,34935.0,Dormant,Penalties,58.03,2019-05-31
South Rift AgriBiz,Londiani,50186.0,Dormant,Penalties,38.85,2020-12-31
Nairobi Region,Ngong Road,22403.0,Dormant,Penalties,17.55,2018-07-31
South Rift AgriBiz,Londiani,23471.0,Active,P+I Current,,2021-02-28
Nairobi Region,Kiambu,11518.0,Dormant,Penalties,0.15,2017-11-30
Western Region,Mbale,73551.0,Dormant,Penalties,36.32,2021-02-28
Nairobi Region,Kariobangi,8059.0,Dormant,Pending Renewal,32.56,2018-10-31
